 
****************************************
Report : area
Design : lenet
Version: R-2020.09-SP5
Date   : Sun Apr 19 11:53:43 2026
****************************************

Library(s) Used:

    slow (File: /home/m110/m110061644/synopsys_tech_file/slow.db)

Number of ports:                        10593
Number of nets:                         32669
Number of cells:                        18533
Number of combinational cells:          16920
Number of sequential cells:              1178
Number of macros/black boxes:               0
Number of buf/inv:                       2682
Number of references:                     234

Combinational area:             258800.883798
Buf/Inv area:                     9960.343054
Noncombinational area:           31074.302298
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (No wire load specified)

Total cell area:                289875.186095
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
add_1258_6                           595.7874      0.2     595.7874      0.0000  0.0000  lenet_DW01_add_37_DW01_add_117
add_1258_7                           595.7874      0.2     595.7874      0.0000  0.0000  lenet_DW01_add_35_DW01_add_115
add_433                              276.6762      0.1     276.6762      0.0000  0.0000  lenet_DW01_inc_10_DW01_inc_11
add_437                              276.6762      0.1     276.6762      0.0000  0.0000  lenet_DW01_inc_7_DW01_inc_8
add_609                              276.6762      0.1     276.6762      0.0000  0.0000  lenet_DW01_inc_6_DW01_inc_7
add_629_2                            276.6762      0.1     276.6762      0.0000  0.0000  lenet_DW01_inc_5_DW01_inc_6
add_633                              276.6762      0.1     276.6762      0.0000  0.0000  lenet_DW01_inc_4_DW01_inc_5
add_640_2                            276.6762      0.1     276.6762      0.0000  0.0000  lenet_DW01_inc_3_DW01_inc_4
add_650_2                            276.6762      0.1     276.6762      0.0000  0.0000  lenet_DW01_inc_2_DW01_inc_3
add_654                              276.6762      0.1     276.6762      0.0000  0.0000  lenet_DW01_inc_1_DW01_inc_2
add_678_2                            276.6762      0.1     276.6762      0.0000  0.0000  lenet_DW01_inc_0_DW01_inc_1
add_865_S2                           201.9906      0.1     201.9906      0.0000  0.0000  lenet_DW01_inc_9_DW01_inc_10
add_880                              239.3334      0.1     239.3334      0.0000  0.0000  lenet_DW01_inc_8_DW01_inc_9
gen_macs[0].mac                     3062.1097      1.1       0.0000      0.0000  0.0000  MAC_39
gen_macs[0].mac/add_1305             595.7874      0.2     595.7874      0.0000  0.0000  MAC_39_DW01_add_0_DW01_add_39
gen_macs[0].mac/mult_1304           2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_39_DW02_mult_0_DW02_mult_2
gen_macs[0].mac/mult_1304/FS_1       268.1892      0.1     268.1892      0.0000  0.0000  MAC_39_DW01_add_1_DW01_add_40
gen_macs[10].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_29
gen_macs[10].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_29_DW01_add_0_DW01_add_35
gen_macs[10].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_29_DW02_mult_0
gen_macs[10].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_29_DW01_add_1_DW01_add_36
gen_macs[11].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_28
gen_macs[11].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_28_DW01_add_0_DW01_add_43
gen_macs[11].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_28_DW02_mult_0_DW02_mult_4
gen_macs[11].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_28_DW01_add_1_DW01_add_44
gen_macs[12].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_27
gen_macs[12].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_27_DW01_add_0_DW01_add_49
gen_macs[12].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_27_DW02_mult_0_DW02_mult_7
gen_macs[12].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_27_DW01_add_1_DW01_add_50
gen_macs[13].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_26
gen_macs[13].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_26_DW01_add_0_DW01_add_57
